customer_id,name,gender,past_3_years_bike_related_purchases,age,job_title,job_industry_category,wealth_segment,owns_car,tenure,building_number,street_name,postcode,state,country,property_valuation,recency,frequency,monetary,RFM_rank,Segment,LTV
16,Harlin Parr,Male,38,40,Media Manager IV,N/A,Mass Customer,Yes,18,52,Moland Street,3331,Victoria,Australia,4,100,5,7763.79,224,Hibernating,4722.08597260274
17,Heath Faraday,Male,57,55,Sales Associate,N/A,Affluent Customer,Yes,15,82391,Kensington Lane,3058,Victoria,Australia,9,1,5,4676.1900000000005,522,Potential Loyalists,3728.1405205479455
18,Marjie Neasham,Female,79,50,Professor,N/A,Affluent Customer,No,11,92,2nd Alley,2135,New South Wales,Australia,12,135,7,8878.62,145,At Risk,3551.4480000000003
19,Sorcha Keyson,Female,76,16,Geological Engineer,Manufacturing,High Net Worth,No,1,59,Spaight Circle,2233,New South Wales,Australia,9,103,3,4238.1900000000005,112,Hibernating,2682.2517534246576
20,Basile Firth,Male,72,37,Project Manager,Manufacturing,Mass Customer,No,11,32,Bartelt Crossing,2444,New South Wales,Australia,8,32,4,6618.86,413,Promising,3100.8905753424656
21,Mile Cammocke,Male,74,37,Safety Technician I,Manufacturing,Affluent Customer,Yes,16,18,Jenna Center,2650,New South Wales,Australia,7,7,5,7446.21,524,Potential Loyalists,6426.181232876713
24,Kim Skpsey,Female,55,40,Research Assistant I,Argiculture,Mass Customer,Yes,15,3,Cordelia Plaza,2153,New South Wales,Australia,10,18,8,8078.950000000001,444,Champions,7127.183287671234
25,Geoff Assaf,Male,72,41,Accounting Assistant III,Financial Services,Mass Customer,Yes,21,28,5th Center,4413,Queensland,Australia,3,6,12,9996.33,555,Champions,8763.905753424657
26,Trixi Ginnelly,Female,12,39,Editor,Financial Services,Mass Customer,Yes,16,52,Carey Alley,4740,Queensland,Australia,5,114,3,3943.12,112,Hibernating,1717.6878904109587
27,Garvin Klees,Male,37,39,Research Nurse,Health,Mass Customer,Yes,12,96,Texas Plaza,3218,Victoria,Australia,7,144,7,7679.97,144,At Risk,2588.0446849315067
28,Fee Zellmer,Male,5,44,Senior Quality Engineer,Health,Affluent Customer,Yes,21,48,Eagan Avenue,4868,Queensland,Australia,4,84,6,5492.900000000001,233,At Risk,3882.6526027397263
29,Mona Sancraft,Female,62,49,Safety Technician III,Manufacturing,Mass Customer,No,19,9,Buell Park,4116,Queensland,Australia,7,23,9,10855.57,455,Champions,10052.555232876712
30,Darrick Helleckas,Male,18,56,N/A,IT,Affluent Customer,Yes,6,2663,Buell Parkway,2519,New South Wales,Australia,11,12,3,3736.5199999999995,511,Promising,2671.8677260273967
31,Star Praton,Female,3,55,Staff Accountant III,Telecommunications,High Net Worth,Yes,14,2294,Pleasure Place,2135,New South Wales,Australia,12,90,4,3110.0,211,Hibernating,1661.5068493150686
32,Marion Vanichkin,Female,17,22,Legal Assistant,Manufacturing,Affluent Customer,No,4,2951,Petterle Place,2756,New South Wales,Australia,9,139,7,7873.18,144,At Risk,4572.915506849315
33,Ernst Hacon,Male,44,60,Product Engineer,N/A,Affluent Customer,Yes,11,63,Lukken Drive,2170,New South Wales,Australia,9,39,6,8808.96,335,Loyal Customers,5961.1318356164375
35,Margaretha Strettle,Female,40,54,Information Systems Manager,Health,High Net Worth,Yes,16,34,Russell Plaza,4127,Queensland,Australia,6,93,4,4182.28,212,Hibernating,2119.7857534246577
36,Lurette Stonnell,Female,33,40,VP Quality Control,N/A,Affluent Customer,No,22,78,Del Sol Hill,2535,New South Wales,Australia,8,164,2,1781.04,111,Hibernating,502.5948493150685
37,Laurie Dwerryhouse,Female,46,32,Social Worker,Health,High Net Worth,No,16,54,Sage Plaza,4726,Queensland,Australia,1,8,9,11291.71,555,Champions,9064.304191780822
38,Cordi Merman,Female,37,62,Senior Cost Accountant,Financial Services,Affluent Customer,No,20,90,Lawn Parkway,4805,Queensland,Australia,4,51,4,4502.59,312,New Customers,3589.736136986301
39,Hunfredo Smalley,Male,5,38,Assistant Media Planner,Entertainment,Mass Customer,No,22,38726,Ilene Crossing,2212,New South Wales,Australia,10,35,12,11237.19,355,Loyal Customers,9574.701616438357
40,Tomasine Jerche,Female,91,36,Payment Adjustment Coordinator,Manufacturing,Affluent Customer,No,14,3496,Brown Drive,2207,New South Wales,Australia,8,15,6,6175.2699999999995,533,Potential Loyalists,5515.446630136986
41,Basilius Coupe,Male,64,41,Food Chemist,Health,Mass Customer,No,16,7188,Cody Way,3350,Victoria,Australia,9,30,8,8570.1,444,Champions,7302.194794520548
42,Chiquita Durnall,Female,24,40,Accountant III,Manufacturing,Mass Customer,No,18,1,Claremont Park,3931,Victoria,Australia,10,112,4,1936.46,111,Hibernating,1172.4867397260273
43,Indira Belt,Female,38,34,Director of Sales,Retail,Mass Customer,No,5,60,Eagan Circle,4018,Queensland,Australia,8,62,9,6574.59,253,At Risk,5385.76002739726
44,Neron Verick,Male,63,36,Assistant Media Planner,Entertainment,Affluent Customer,Yes,17,89314,Eagle Crest Center,4670,Queensland,Australia,2,36,7,7497.4,344,Loyal Customers,4560.0624657534245
45,Trace Woodhead,Male,64,42,Senior Financial Analyst,Financial Services,Mass Customer,No,8,2028,Lakewood Place,2480,New South Wales,Australia,3,44,3,2912.33,311,New Customers,1045.247205479452
46,Kaila Allin,Female,98,45,N/A,N/A,Affluent Customer,Yes,15,70875,Hudson Point,3212,Victoria,Australia,6,54,5,4923.139999999999,322,New Customers,3196.6689863013694
47,Matthew Jeaycock,Male,51,25,Registered Nurse,Health,Affluent Customer,No,2,543,Killdeer Park,2322,New South Wales,Australia,4,36,7,8022.01,344,Loyal Customers,6857.170191780821
48,Rebbecca Casone,Female,46,42,Biostatistician II,N/A,Mass Customer,Yes,8,22125,Ramsey Drive,3198,Victoria,Australia,9,83,8,9654.119999999999,245,At Risk,6480.162739726027
49,Nolly Ownsworth,Male,63,23,VP Quality Control,N/A,Affluent Customer,No,1,3107,Calypso Terrace,2210,New South Wales,Australia,9,37,5,7582.92,324,New Customers,6170.211616438356
50,Whitby Schapero,Male,38,37,Account Executive,Manufacturing,Mass Customer,Yes,16,957,Veith Junction,2047,New South Wales,Australia,10,27,8,9252.66,445,Champions,8137.2708493150685
51,Fidelio Dilke,Male,68,58,Computer Systems Analyst II,Retail,Mass Customer,No,18,4853,Gulseth Avenue,4503,Queensland,Australia,5,56,8,9667.460000000001,345,Loyal Customers,8157.747068493151
52,Curran Bentson,Male,57,29,N/A,Financial Services,Mass Customer,Yes,13,9,Michigan Terrace,2145,New South Wales,Australia,8,5,7,10106.57,545,Champions,9663.542273972602
53,Agnella Gocke,Female,22,63,Software Test Engineer II,Financial Services,Mass Customer,No,16,62,Steensland Road,4350,Queensland,Australia,3,8,5,5472.74,523,Potential Loyalists,5247.8328767123285
54,Loralyn Wonfor,Female,2,51,Sales Associate,Property,Mass Customer,Yes,18,6,Homewood Avenue,2142,New South Wales,Australia,8,68,7,9813.66,245,At Risk,6479.704273972602
55,Linc Jillions,Male,48,61,Paralegal,Financial Services,Affluent Customer,Yes,7,15,Almo Lane,2029,New South Wales,Australia,10,47,8,6754.21,344,Loyal Customers,5736.452328767123
56,Reese Ensor,Male,44,21,VP Sales,Property,Mass Customer,Yes,4,690,Glacier Hill Circle,2127,New South Wales,Australia,10,3,7,5060.86,542,Champions,4339.860767123288
57,Abba Masedon,Male,87,29,Chief Design Engineer,N/A,Mass Customer,Yes,13,89787,Village Green Terrace,4280,Queensland,Australia,6,36,6,8748.75,335,Loyal Customers,7406.47602739726
58,Dalenna Pinnock,Female,26,50,Office Assistant III,Financial Services,Affluent Customer,Yes,17,18,Elgar Park,2166,New South Wales,Australia,9,21,8,6967.3099999999995,444,Champions,4142.208958904109
59,Niki Heathcote,Male,60,17,Physical Therapy Assistant,N/A,High Net Worth,No,3,413,Mayer Street,2046,New South Wales,Australia,9,23,3,2797.47,411,Promising,1854.7609315068494
60,Nadiya Champerlen,Female,18,47,N/A,Manufacturing,Mass Customer,No,10,39,3rd Drive,2026,New South Wales,Australia,10,201,2,1526.9,111,Hibernating,71.11589041095891
61,Kacey Rowbottom,Female,47,58,Help Desk Operator,Property,High Net Worth,No,13,44516,Katie Parkway,2765,New South Wales,Australia,7,48,7,8397.28,344,Loyal Customers,5544.505424657535
62,Sorcha Roggers,Female,38,38,N/A,IT,Mass Customer,Yes,22,41,Schurz Center,2749,New South Wales,Australia,8,6,6,5845.950000000001,533,Potential Loyalists,5605.705479452055
63,Ebony Zini,Female,58,52,Senior Quality Engineer,Retail,Mass Customer,Yes,16,68150,Boyd Road,2745,New South Wales,Australia,9,69,3,4156.66,212,Hibernating,2471.2197808219175
64,Gerek Yve,Male,73,39,Legal Assistant,IT,High Net Worth,No,4,11474,Westend Hill,3752,Victoria,Australia,8,4,5,4111.12,522,Potential Loyalists,3964.6965479452056
65,Yale Tanser,Male,21,41,Information Systems Manager,Financial Services,Affluent Customer,Yes,15,308,Jana Crossing,2153,New South Wales,Australia,10,137,6,8056.469999999999,134,At Risk,3906.836136986301
66,Anselm Gawne,Male,46,15,Account Executive,Argiculture,High Net Worth,No,1,163,Straubel Trail,2217,New South Wales,Australia,10,44,4,5199.48,312,New Customers,3888.926136986301
67,Vernon,Male,67,57,Web Developer II,Retail,Mass Customer,No,18,68294,Clarendon Crossing,2230,New South Wales,Australia,10,117,5,5304.15,123,Hibernating,2484.9579452054795
68,Dahlia Eddoes,Female,37,43,Information Systems Manager,N/A,Affluent Customer,No,9,486,Mariners Cove Plaza,3046,Victoria,Australia,7,85,3,5127.98,212,Hibernating,3709.004712328767
69,Heidi Milner,Female,16,48,Web Developer II,N/A,Mass Customer,No,6,322,Dryden Court,3183,Victoria,Australia,7,21,6,8395.75,434,Loyal Customers,7153.639041095891
70,Foster Vannoort,Male,78,24,Paralegal,Financial Services,Affluent Customer,No,8,9,Bonner Road,2070,New South Wales,Australia,12,5,5,4801.11,522,Potential Loyalists,4301.268410958904
71,Hoyt Glavias,Male,30,32,Research Associate,Argiculture,Affluent Customer,Yes,12,7041,Briar Crest Lane,2213,New South Wales,Australia,10,132,1,1415.01,111,Hibernating,0.0
72,Sammy Cheese,Male,93,45,Administrative Officer,Manufacturing,Affluent Customer,Yes,16,29466,Hanson Pass,4208,Queensland,Australia,6,23,5,4360.42,422,Potential Loyalists,2532.627506849315
73,Minette Worters,Female,16,57,Teacher,N/A,Affluent Customer,Yes,5,212,Forest Run Trail,2774,New South Wales,Australia,8,169,6,5265.87,133,At Risk,2697.8566849315066
74,Pansy Kiddie,Female,94,48,N/A,N/A,Mass Customer,Yes,6,33055,Menomonie Parkway,4133,Queensland,Australia,8,29,3,2985.64,411,Promising,1832.2831780821919
75,Dollie Sealy,Female,28,39,VP Product Management,Property,Mass Customer,No,19,4763,Merchant Avenue,2756,New South Wales,Australia,8,61,8,7130.63,244,At Risk,3086.683671232877
76,Rea Hasser,Female,20,39,Statistician II,Retail,High Net Worth,Yes,18,439,Ridgeway Court,4213,Queensland,Australia,9,2,8,7425.04,544,Champions,5756.948821917808
77,Shermie Andrin,Male,79,28,Automation Specialist IV,Financial Services,Mass Customer,No,7,2,Clyde Gallagher Lane,4170,Queensland,Australia,5,102,3,2964.73,111,Hibernating,1868.1860273972602
78,Arch Van der Kruis,Male,37,32,Business Systems Development Analyst,Argiculture,Affluent Customer,No,8,97455,Loeprich Lane,2153,New South Wales,Australia,9,212,2,1139.12,111,Hibernating,3.120876712328767
79,Tybi Silliman,Female,76,49,Account Executive,Manufacturing,Mass Customer,No,18,9527,Ridgeway Street,2073,New South Wales,Australia,10,44,6,6761.43,334,Loyal Customers,4946.032356164384
80,Pablo Small,Male,11,39,Data Coordiator,Entertainment,Mass Customer,No,13,7,Jackson Point,3561,Victoria,Australia,1,29,10,12564.82,455,Champions,11394.398410958904
81,Bee Blazewicz,Female,58,31,N/A,Health,High Net Worth,No,13,74,Anniversary Junction,2330,New South Wales,Australia,6,5,4,4421.7,512,Promising,3549.4742465753425
82,Gleda Cokely,Female,93,52,Software Test Engineer III,Property,High Net Worth,No,19,2083,Spaight Court,3977,Victoria,Australia,8,79,5,5293.91,223,Hibernating,3408.407808219178
83,Kerr Simmell,Male,97,50,Internal Auditor,IT,Mass Customer,Yes,18,2796,Caliangt Circle,2204,New South Wales,Australia,12,81,6,4464.65,232,At Risk,3216.9943835616436
84,Rich Mathiasen,Male,78,59,Accountant III,N/A,Mass Customer,Yes,14,96061,Ludington Place,2086,New South Wales,Australia,11,29,7,5464.650000000001,443,Champions,4716.067808219179
85,Kane Tixall,Male,1,59,Analyst Programmer,N/A,Mass Customer,No,8,5037,Merchant Crossing,2226,New South Wales,Australia,11,38,6,3158.6299999999997,331,Loyal Customers,2751.9023013698625
86,Job Sleney,Male,75,28,Occupational Therapist,Health,High Net Worth,Yes,7,289,Haas Street,2075,New South Wales,Australia,11,1,9,7319.35,554,Champions,6737.812602739727
87,Fields Langdon,Male,78,43,Editor,Financial Services,Mass Customer,No,8,4423,Bartelt Parkway,2038,New South Wales,Australia,12,19,9,7994.73,454,Champions,7118.595205479452
88,Malynda Tumber,Female,41,51,Help Desk Operator,Property,High Net Worth,Yes,7,5,Grim Center,2069,New South Wales,Australia,12,75,6,5550.83,233,At Risk,3330.498
89,Benedicto Hoxey,Male,74,50,Speech Pathologist,Health,Mass Customer,Yes,14,73042,Roth Crossing,2100,New South Wales,Australia,11,5,9,12741.44,555,Champions,10996.037260273972
90,Cary Garron,Male,76,33,Quality Control Specialist,Manufacturing,Mass Customer,No,11,171,Fordem Junction,2233,New South Wales,Australia,10,31,7,7703.58,444,Champions,5614.115835616439
91,Dylan Meaker,Male,69,62,Senior Financial Analyst,Financial Services,Affluent Customer,Yes,17,2640,Manley Point,2166,New South Wales,Australia,9,10,8,8066.4400000000005,544,Champions,5569.158575342466
92,Jodee Judkins,Female,98,37,Recruiting Manager,Health,Mass Customer,No,12,3,Hintze Pass,3133,Victoria,Australia,10,35,3,5098.43,312,New Customers,4413.9832328767125
93,Gordon Gowar,Male,63,41,Project Manager,Retail,Mass Customer,Yes,10,2,Mcbride Road,3070,Victoria,Australia,10,80,3,5276.129999999999,213,Hibernating,3686.0634246575337
94,Wallache Simchenko,Male,33,43,Civil Engineer,Manufacturing,Mass Customer,No,21,67234,Transport Hill,2777,New South Wales,Australia,7,34,7,8305.77,344,Loyal Customers,2298.3089589041097
95,Nomi Mallinder,Female,67,57,Software Engineer III,Manufacturing,Affluent Customer,Yes,8,72,Dorton Crossing,3133,Victoria,Australia,10,39,4,5049.799999999999,312,New Customers,2338.1265753424655
96,Heath Olford,Male,33,49,Nuclear Power Engineer,Manufacturing,Mass Customer,No,15,6,Heffernan Center,2125,New South Wales,Australia,11,71,4,3874.84,212,Hibernating,3036.176
97,Arne Corain,Male,16,38,Community Outreach Specialist,Financial Services,Mass Customer,Yes,10,6088,Roxbury Hill,2766,New South Wales,Australia,8,103,8,8895.95,145,At Risk,6336.841095890411
98,Allianora Babalola,Female,19,61,Safety Technician IV,Health,Mass Customer,No,7,105,Shelley Alley,2209,New South Wales,Australia,10,123,5,6180.05,123,Hibernating,2218.0453424657535
99,Reggie Mulliner,Male,97,19,VP Accounting,Financial Services,Mass Customer,No,3,79,Merry Park,2160,New South Wales,Australia,9,3,9,8279.06,554,Champions,6623.248
100,Tripp Steed,Male,80,49,General Manager,Financial Services,Mass Customer,Yes,4,8722,Summit Alley,2065,New South Wales,Australia,12,12,2,2748.2,511,Promising,1679.0372602739726
101,Goran Kwietek,Male,83,42,Nurse Practicioner,Manufacturing,High Net Worth,No,11,9554,Artisan Pass,2150,New South Wales,Australia,10,9,4,4309.82,512,Promising,3235.3169315068494
102,Langsdon Tranfield,Male,51,61,Quality Control Specialist,Manufacturing,Affluent Customer,No,16,55850,Butterfield Road,2168,New South Wales,Australia,9,43,7,6659.22,343,Loyal Customers,4305.687452054794
103,Ethyl Runham,Female,49,20,Product Engineer,Financial Services,Affluent Customer,Yes,4,68,Little Fleur Crossing,2046,New South Wales,Australia,12,50,5,4909.84,322,New Customers,4048.936547945206
104,Odille Panketh,Female,40,39,Automation Specialist II,Health,Mass Customer,Yes,9,85688,New Castle Crossing,4171,Queensland,Australia,10,65,9,8985.64,255,At Risk,5957.602410958904
105,Maribeth Pristnor,Female,25,16,Recruiting Manager,Manufacturing,Mass Customer,No,1,8611,Loomis Lane,2155,New South Wales,Australia,10,90,4,6234.35,213,Hibernating,3586.886301369863
106,Glyn,Male,54,51,Software Test Engineer III,Health,High Net Worth,Yes,18,7909,Pierstorff Crossing,2517,New South Wales,Australia,9,2,3,2906.16,511,Promising,1536.6818630136986
107,Pris Stallebrass,Female,97,27,Nurse Practicioner,Financial Services,Mass Customer,Yes,9,1,Muir Parkway,2096,New South Wales,Australia,12,82,4,3345.1000000000004,211,Hibernating,2318.658356164384
108,Kayle Mingaud,Female,4,23,N/A,N/A,High Net Worth,No,3,410,Division Junction,2750,New South Wales,Australia,8,11,3,3556.66,511,Promising,331.30531506849314
109,Cody Blabey,Male,16,39,Marketing Assistant,N/A,Affluent Customer,Yes,4,41,Service Lane,2217,New South Wales,Australia,11,9,10,10661.51,555,Champions,9843.640739726028
110,Sascha St. Quintin,Male,23,17,N/A,Financial Services,Affluent Customer,No,1,5,Moose Road,3977,Victoria,Australia,8,15,7,7788.71,544,Champions,7063.186328767123
111,Cele Evason,Female,65,24,Analyst Programmer,N/A,Mass Customer,No,2,7342,Fieldstone Junction,2093,New South Wales,Australia,12,148,4,4873.0599999999995,112,Hibernating,1628.8036164383561
112,Shena Parren,Female,88,42,Marketing Manager,Retail,High Net Worth,No,12,0,David Terrace,3204,Victoria,Australia,11,48,6,9059.89,335,Loyal Customers,7272.733616438356
113,Gage Nickless,Male,67,61,Staff Scientist,N/A,Mass Customer,No,20,15239,Northwestern Point,4300,Queensland,Australia,4,176,5,4240.1900000000005,122,Hibernating,2183.988273972603
114,Sunny Swindells,Female,10,32,Teacher,Entertainment,Affluent Customer,No,8,60,Oneill Street,2170,New South Wales,Australia,9,71,4,3233.0,211,Hibernating,2294.1013698630136
115,Alberik Mereweather,Male,77,36,Account Executive,Health,Mass Customer,No,18,8194,Sachtjen Drive,3844,Victoria,Australia,1,15,8,8398.18,544,Champions,7546.857643835617
116,Scottie Swiffen,Male,49,18,Assistant Professor,Manufacturing,Affluent Customer,Yes,2,349,Farmco Terrace,2168,New South Wales,Australia,8,13,8,5663.92,543,Champions,3367.3168219178083
117,Nance Suttling,Female,75,35,Marketing Manager,Manufacturing,Mass Customer,No,15,185,Pennsylvania Way,4226,Queensland,Australia,6,6,10,12856.83,555,Champions,12187.570356164384
118,Prentice Pearmain,Male,43,58,Budget/Accounting Analyst IV,N/A,High Net Worth,No,19,432,Longview Circle,3192,Victoria,Australia,10,70,5,5319.51,223,Hibernating,3585.204
119,Willey Chastanet,Male,9,36,Associate Professor,N/A,High Net Worth,Yes,9,5814,Bunker Hill Street,3070,Victoria,Australia,7,31,4,5217.66,412,Promising,1743.9849863013699
120,Sloan Wagg,Male,80,39,Legal Assistant,Financial Services,High Net Worth,Yes,4,7,Carberry Crossing,2485,New South Wales,Australia,2,130,3,3118.34,111,Hibernating,546.7774246575343
121,Myles Pauncefort,Male,82,60,Graphic Designer,Manufacturing,Mass Customer,No,15,53,Talisman Trail,2097,New South Wales,Australia,9,112,4,4327.44,112,Hibernating,2928.432
122,Colver Itter,Male,87,38,Quality Control Specialist,Financial Services,Mass Customer,Yes,12,5,Prairie Rose Road,4817,Queensland,Australia,2,9,5,6533.389999999999,523,Potential Loyalists,3615.7391232876707
123,Almeta Kalinsky,Female,85,29,Analyst Programmer,Financial Services,High Net Worth,No,15,84,Florence Parkway,2516,New South Wales,Australia,8,192,4,5337.79,113,Hibernating,2515.3421369863013
124,Kath Cunney,Female,27,22,Administrative Assistant II,Health,High Net Worth,Yes,5,739,Elmside Way,3074,Victoria,Australia,8,3,7,8272.15,544,Champions,6708.3736986301365
125,Darrelle Antoniewski,Female,94,57,Computer Systems Analyst II,Property,Mass Customer,No,16,684,Northport Circle,2213,New South Wales,Australia,10,84,9,6537.76,253,At Risk,4800.327890410959
126,Norman Cliff,Male,53,25,Administrative Officer,Health,Mass Customer,Yes,3,8,Hagan Hill,4508,Queensland,Australia,4,12,3,3448.12,511,Promising,3089.1376438356165
127,Merrili Whitear,Female,81,43,Compensation Analyst,Financial Services,Mass Customer,No,19,0,Pearson Crossing,4405,Queensland,Australia,1,24,10,9949.62,455,Champions,9213.620712328768
128,Isidro Cypler,Male,73,40,Systems Administrator III,Property,Mass Customer,Yes,12,10918,Merry Way,2452,New South Wales,Australia,5,138,4,3679.75,111,Hibernating,1330.7589041095891
129,Weidar Silkstone,Male,64,32,Financial Advisor,Financial Services,High Net Worth,Yes,19,97,Coolidge Trail,2142,New South Wales,Australia,9,179,4,4090.48,112,Hibernating,1949.9822465753425
130,Raddy Delete,Male,32,20,Chemical Engineer,Manufacturing,Mass Customer,No,1,58,Helena Hill,2205,New South Wales,Australia,7,77,2,3340.42,211,Hibernating,2333.718082191781
131,Jana Renyard,Female,57,53,Administrative Officer,Retail,High Net Worth,No,8,352,Forster Place,4132,Queensland,Australia,3,206,6,8745.28,135,At Risk,3426.23298630137
132,Celesta Willavoys,Female,5,54,Web Designer I,Manufacturing,Mass Customer,Yes,9,12306,Lawn Street,2145,New South Wales,Australia,8,8,6,7365.93,534,Potential Loyalists,6377.079123287672
133,Eldridge Fiddeman,Male,12,40,VP Accounting,Financial Services,Mass Customer,Yes,16,19392,7th Trail,4744,Queensland,Australia,1,27,5,3164.55,421,Potential Loyalists,2895.78
134,Merna McCulloch,Female,34,20,Legal Assistant,Telecommunications,Affluent Customer,Yes,5,1605,Northfield Junction,2158,New South Wales,Australia,11,15,6,7170.95,534,Potential Loyalists,6208.274520547945
135,Rosalia Sigart,Female,18,42,Internal Auditor,IT,Mass Customer,No,3,9674,Graceland Junction,3201,Victoria,Australia,6,116,6,4966.27,132,At Risk,3265.492602739726
136,Mel Bennet,Male,46,44,Senior Developer,Manufacturing,High Net Worth,Yes,7,638,Thackeray Junction,4178,Queensland,Australia,3,21,8,9406.85,445,Champions,8530.595479452055
137,Vaughn Artin,Male,27,30,Office Assistant II,Property,High Net Worth,No,10,869,Forster Circle,2112,New South Wales,Australia,10,28,5,3507.0499999999997,421,Potential Loyalists,2988.198767123288
138,Onofredo Franc,Male,5,32,Recruiter,Financial Services,Affluent Customer,Yes,13,0,Golden Leaf Crossing,2033,New South Wales,Australia,9,65,7,4927.35,242,At Risk,4036.3771232876716
139,Gar,Male,1,53,Operator,Telecommunications,Affluent Customer,No,4,215,Lindbergh Trail,4401,Queensland,Australia,1,27,9,10638.89,455,Champions,9764.460684931506
140,Morrie Flaxon,Male,9,23,Programmer Analyst III,Manufacturing,Mass Customer,No,2,829,Washington Crossing,3186,Victoria,Australia,9,4,6,7649.34,534,Potential Loyalists,7418.81194520548
141,Townsend Trobe,Male,67,63,Teacher,Financial Services,High Net Worth,Yes,10,585,Loomis Court,2097,New South Wales,Australia,11,160,3,4053.9800000000005,112,Hibernating,888.5435616438357
142,Bentley Fortesquieu,Male,57,50,Quality Engineer,Health,Affluent Customer,No,17,68063,Blue Bill Park Center,3058,Victoria,Australia,9,5,11,12474.74,555,Champions,12030.434191780821
143,Kendall Figg,Male,19,60,Operator,Argiculture,Mass Customer,Yes,11,15673,Farmco Point,4017,Queensland,Australia,6,14,4,4689.21,512,Promising,4175.32397260274
144,Jory Barrabeale,Unknown,71,46,Environmental Tech,IT,Mass Customer,No,9,22,Oxford Junction,2315,New South Wales,Australia,3,7,8,8961.14,545,Champions,7389.871616438356
145,Filippo Ferrara,Male,33,20,Account Executive,Financial Services,Mass Customer,No,4,7245,Cottonwood Center,2285,New South Wales,Australia,5,29,7,8149.19,444,Champions,5425.351150684931
146,Ricoriki Matlock,Male,34,32,Quality Control Specialist,Manufacturing,Mass Customer,No,8,20382,Spohn Alley,2219,New South Wales,Australia,11,195,2,1973.29,111,Hibernating,140.56312328767123
147,Rea Pattrick,Female,32,44,Analog Circuit Design manager,Health,Mass Customer,Yes,10,12375,Cambridge Pass,2065,New South Wales,Australia,11,35,6,8079.09,334,Loyal Customers,7016.634328767123
148,Jaquith Maffey,Female,69,36,Programmer Analyst III,N/A,Mass Customer,Yes,5,3,Granby Parkway,3216,Victoria,Australia,8,44,5,5808.83,323,New Customers,4838.039232876712
149,Drucy Kausche,Female,41,22,Research Nurse,Health,Mass Customer,Yes,1,939,Coleman Pass,4509,Queensland,Australia,7,19,5,6349.1900000000005,423,Potential Loyalists,5775.153643835617
150,Bradly Crosse,Male,6,34,Cost Accountant,Financial Services,Affluent Customer,No,17,69914,Bowman Place,2330,New South Wales,Australia,7,76,4,3630.96,211,Hibernating,1969.6714520547946
151,Donnie Brimson,Male,36,52,Marketing Manager,Manufacturing,Mass Customer,Yes,13,34457,Springview Street,2759,New South Wales,Australia,9,1,8,13047.54,545,Champions,12797.313205479453
